(eemale, ära) ajama	гнать
vajalik	необходимый
vajalik	нужный
vajalik olema	требоваться (быть необходимым)
vakants	вакансия
vaktsineerima	делать прививки
vaktsineerima	делать прививку
vaktsineerimine	прививка
valama	наливать (в чашку)
valdama	владеть
vale	неправильный (ошибочный)
valetama	врать
valge	белый
valged	белые
valgendama	белить
valgevask	латунь
valgud	белки
välgumihkel	зажигалка
valgusfoor	светофор
valgusti	светильник (на стене)
vali	громкий
vali	громкий (голос)
valija	избиратель
valik	ассортимент
valik	выбор (ассортимент)
valik	подбор
valima	выбирать
valima	выбирать, избирать
valima	выбрать
valimised	выборы
valimiskampaania	избирательная кампания
väline	внешний
välismaal	за границей
välismaalane	иностранец
välismaine	иностранный
välisreklaam	наружная реклама
välistrepp	крыло (здания)
välistrepp	крыльцо
valitseja	правитель
valitsus	правительство
valitud teosed	избранное
välja andma	издавать (книгу)
välja hingama	выдохнуть
välja kannatama	терпеть (боль и т.п.)
välja kirjutama	прописать (лекарство)
välja lülitama	выключать
välja lülitama	выключить
välja lülitama	отсоединить
välja lülitama	тушить (свет)
välja minema	выйти (из дома и т.п.)
välja õpetama	объезжать (лошадь)
välja pressima	вымогать
välja surema	вымереть (динозавры)
välja surema	глохнуть (о моторе)
välja tulema	выходить (из дома)
välja valima	отобрать (выбрать)
välja vedama	экспортировать
valjad	уздечка
väljahingamine	выдох
väljak	площадь
väljakaevamised	раскопки (место работ)
väljakaevamised	раскопки (работы)
väljalend	вылет
väljalend hilineb	задержка вылета
väljalennuaeg	время вылета
väljapressija	вымогатель
väljapressija	рэкетир
väljapressimine	вымогательство
väljavedaja	экспортёр
väljend	выражение
väljend	фраза
väljendama	выразить (словами)
valjusti	вслух
valjusti	громко
välk	молния
välku lööma	сверкать
vallaline	холостой
vallaline	ХОЛОСТОЙ (прил.)
vallandama	уволить
vallandamine	увольнение
vallikraav	ров
vallutaja	завоеватель
vallutama	завоевать
vallutama	покорять
valm	басня
valss	вальс
valu	боль
valuuta	валюта
valuvaigisti	обезболивающее
valvama	охранять (природу)
valve	охрана
Valvel!	Смирно!
valvur	сторож
vampiir	вампир
vana	старый
vana	старый (дом и т.п.)
Vana Testament	Ветхий Завет
vanaaegne	старинный
vanaeit	старая женщина
vanaema	бабушка
vana-inglise lambakoer	бобтейл
vanaisa	дедушка
vanamees	старик
vanapoiss	ХОЛОСТЯК
vanasõna	пословица
vandemees	присяжные
vandemeeste kohus	суд присяжных
vandenõu	заговор
vanem poeg	старший сын
vanem tütar	старшая дочь
vanemad	родители
vang	заключённый
vangerdus	рОКИрОВКа (шахм.)
vangi sattuma	попасть в плен
vangi võtma	взять в плен
vangikong	камера
vangis olema	быть в плену
vangist põgenema	бежать (из плена)
vangistus	плен
vangivalvur	надзиратель
vangla	тюрьма
vanker	ладья
vann	ванна
vannitama	купать
vannitoaga	с ванной
vannituba	ванная комната
vanus	возраст
vappekülm	озноб
vapper	отважный
vapper	храбрый
vara	рано (~ проснуться)
varaan	варан
varahommik	раннее утро
varakult	заранее
varas	вор
varastama	воровать, красть
varastama	красть
värav	ворота
värav	гол
väravat lööma	забить гол
väravavaht	вратарь
väravpall	гандбол
varblane	воробей
varemed	руины
vares	ворона
vargus	воровство, кража
variant	вариант
varing	обвал (снежный)
värisema	дрожать
varistus	засада
varjuma	скрыться
varjund	оттенок
varn	вешалка (на стене)
varrukas	рукав
vars	стебель
värske	свежий
värske	свежий (напр. журнал)
varss	жеребёнок
Varssavi	Варшава
varsti	скоро
varumängijate pink	скамейка запасных
varuosa	запчасть
värv	краска
värv	цвет
värvima	красить
vasak	левый
vasakul	слева
vasakule	налево
vasall	вассал
vasikaliha	телятина
vasikas	телёнок
väsima	уставать
väsinud	усталый
väsitama	утомлять
väsitav	утомительный
vask	медь
vaskne	медный
vastama	ответить
vastama	отвечать
vastandlik	противоположный
vastane	противник
vastne	личинка
vastu vaidlema	возражать
vastu võtma	принять (согласиться)
vastupidav	крепкий
vastupidav	прочный
vastus	ответ (на вопрос)
vastutama	ответственный
vastutus	ответственность
vastuvõtmist tõendav allkiri	расписка
Vatikan	Ватикан
vatt	вата
vedamine	удача (везение)
vedel	жидкий
vedru	пружина
veduk	тягач
vedurijuht	машинист
vee all	под водой
veebi lehekülg	веб-сайт
